id,name,set,setNumber,year,type,rarity,artist,image,price,condition,status,suggestedPrice,priceCheckedAt
lucario-ex-scarlet-violet-starter-set-ex-009-023-jp,Lucario ex,Scarlet & Violet Starter Set ex,009/023,2023,Fighting,RR,5ban Graphics,/images/cards-collection/lucario-ex-scarlet-violet-starter-set-ex-009-023-jp.webp,,NM,available,,
team-rocket-s-articuno-mask-of-change-034-193-jp,Team Rocket's Articuno,Mask of Change,034/193,2025,Water,Holo,Mitsuhiro Arita,/images/cards-collection/team-rocket-s-articuno-mask-of-change-034-193-jp.webp,,NM,available,,
mega-lucario-ex-mega-battle-deck-ex-228-193-jp,Mega Lucario ex,Mega Battle Deck ex,228/193,2025,Fighting,UR,5ban Graphics,/images/cards-collection/mega-lucario-ex-mega-battle-deck-ex-228-193-jp.webp,,NM,available,,
roaring-moon-ex-ancient-roar-093-066-jp,Roaring Moon ex,Ancient Roar,093/066,2023,Dark,UR,takuyoa,/images/cards-collection/roaring-moon-ex-ancient-roar-093-066-jp.webp,,NM,available,,
mewtwo-ex-pokemon-card-151-001-020-jp,Mewtwo ex,Pokemon Card 151,001/020,2023,Psychic,UR,aky CG Works,/images/cards-collection/mewtwo-ex-pokemon-card-151-001-020-jp.webp,,NM,available,,
mega-lucario-ex-cyber-judge-078-063-jp,Mega Lucario ex,Cyber Judge,078/063,2024,Fighting,SR,takuyoa,/images/cards-collection/mega-lucario-ex-cyber-judge-078-063-jp.webp,,NM,available,,
tyrunt-destined-rivals-089-080-jp,Tyrunt,Destined Rivals,089/080,2026,Fighting,AR,Shimaris Yukichi,/images/cards-collection/tyrunt-destined-rivals-089-080-jp.webp,,NM,available,,
mega-dragonite-ex-destined-rivals-232-193-jp,Mega Dragonite ex,Destined Rivals,232/193,2025,Dragon,UR,DOM,/images/cards-collection/mega-dragonite-ex-destined-rivals-232-193-jp.webp,,NM,available,,
machamp-vmax-vstar-universe-072-172-jp,Machamp VMAX,VSTAR Universe,072/172,2022,Fighting,RRR,N-DESIGN Inc.,/images/cards-collection/machamp-vmax-vstar-universe-072-172-jp.webp,,NM,available,,
basgili-vstar-pokemon-go-041-067-jp,Basgili VSTAR,Pokemon GO,041/067,2022,Fighting,RRR,5ban Graphics,/images/cards-collection/basgili-vstar-pokemon-go-041-067-jp.webp,,NM,available,,
terrakion-destined-rivals-051-086-jp,Terrakion,Destined Rivals,051/086,2025,Fighting,Rare,Tonji Matsuno,/images/cards-collection/terrakion-destined-rivals-051-086-jp.webp,,NM,available,,
dewgong-mask-of-change-019-080-jp,Dewgong,Mask of Change,019/080,2024,Water,Rare,Yoshioka,/images/cards-collection/dewgong-mask-of-change-019-080-jp.webp,,NM,available,,
meowstic-crimson-haze-033-080-jp,Meowstic,Crimson Haze,033/080,2024,Psychic,Uncommon,Kannnu,/images/cards-collection/meowstic-crimson-haze-033-080-jp.webp,,NM,available,,
cofagrigus-crimson-haze-081-080-jp,Cofagrigus,Crimson Haze,081/080,2026,Grass,AR,kamonabe,/images/cards-collection/cofagrigus-crimson-haze-081-080-jp.webp,,NM,available,,
bulbasaur-clay-burst-001-165-jp,Bulbasaur,Clay Burst,001/165,2023,Grass,Common,Yuu Nishida,/images/cards-collection/bulbasaur-clay-burst-001-165-jp.webp,,NM,available,,
blaziken-vmax-matchless-fighters-020-184-jp,Blaziken VMAX,Matchless Fighters,020/184,2021,Fire,RRR,AKIRA EGAWA,/images/cards-collection/blaziken-vmax-matchless-fighters-020-184-jp.webp,,NM,available,,
gloom-shiny-treasure-ex-192-190-jp,Gloom,Shiny Treasure ex,192/190,2023,Grass,S,OKACHEKE,/images/cards-collection/gloom-shiny-treasure-ex-192-190-jp.webp,,NM,available,,
crocalor-future-flash-218-190-jp,Crocalor,Future Flash,218/190,2023,Fire,SR,Atsushi Furusawa,/images/cards-collection/crocalor-future-flash-218-190-jp.webp,,NM,available,,
lucario-vstar-pokemon-go-005-021-jp,Lucario VSTAR,Pokemon GO,005/021,2022,Fighting,RR,Illus.aky CG Works,/images/cards-collection/lucario-vstar-pokemon-go-005-021-jp.webp,,NM,available,,
morpeko-v-s1h-start-deck-100-019-060-jp,Morpeko V,S1H Start Deck 100,019/060,2020,Electric,RR,5ban Graphics,/images/cards-collection/morpeko-v-s1h-start-deck-100-019-060-jp.webp,,NM,available,,
radiant-steelix-paradigm-trigger-050-071-jp,Radiant Steelix,Paradigm Trigger,050/071,2022,Steel,Other,Sanosuke Sakuma,/images/cards-collection/radiant-steelix-paradigm-trigger-050-071-jp.webp,,NM,available,,
venusaur-pokemon-go-003-071-jp,Venusaur,Pokemon GO,003/071,2022,Grass,Rare,KEIICHIRO ITO,/images/cards-collection/venusaur-pokemon-go-003-071-jp.webp,,NM,available,,
nidoqueen-pokemon-card-151-031-165-jp,Nidoqueen,Pokémon Card 151,031/165,2023,Dark,Uncommon,Teeziro,/images/cards-collection/nidoqueen-pokemon-card-151-031-165-jp.webp,,NM,available,,
team-rocket-s-nidoking-ex-destined-rivals-063-098-jp,Team Rocket's Nidoking ex,Destined Rivals,063/098,2025,Psychic,RR,5ban Graphics,/images/cards-collection/team-rocket-s-nidoking-ex-destined-rivals-063-098-jp.webp,,NM,available,,
hippowdon-battle-region-042-067-jp,Hippowdon,Battle Region,042/067,2022,Fighting,Uncommon,Kyoko Umemoto,/images/cards-collection/hippowdon-battle-region-042-067-jp.webp,,NM,available,,
blaziken-vmax-rapid-strike-master-008-070-jp,Blaziken VMAX,Rapid Strike Master,008/070,2021,Fire,RRR,AKIRA EGAWA,/images/cards-collection/blaziken-vmax-rapid-strike-master-008-070-jp.webp,,NM,available,,
haunter-pokemon-card-151-093-165-jp,Haunter,Pokemon Card 151,093/165,2023,Psychic,Uncommon,Tomokazu Komiya,/images/cards-collection/haunter-pokemon-card-151-093-165-jp.webp,,NM,available,,
shaymin-v-star-birth-012-100-jp,Shaymin V,Star Birth,012/100,2022,Grass,RR,Satoshi Shirai,/images/cards-collection/shaymin-v-star-birth-012-100-jp.webp,,NM,available,,
charmeleon-pokemon-card-gym-promo-045-m-p-jp,Charmeleon,Pokemon Card Gym Promo,045/M-P,2025,Fire,Promo,Teeziro,/images/cards-collection/charmeleon-pokemon-card-gym-promo-045-m-p-jp.webp,,NM,available,,
gengar-surging-sparks-049-080-jp,Gengar,Surging Sparks,049/080,2026,Psychic,Uncommon,Masako Tomii,/images/cards-collection/gengar-surging-sparks-049-080-jp.webp,,NM,available,,
raging-bolt-terastal-festival-ex-100-187-jp,Raging Bolt,Terastal Festival ex,100/187,2024,Electric,Holo,hncl,/images/cards-collection/raging-bolt-terastal-festival-ex-100-187-jp.webp,,NM,available,,
hoopa-v-fusion-arts-066-100-jp,Hoopa V,Fusion Arts,066/100,2021,Dark,RR,takuyoa,/images/cards-collection/hoopa-v-fusion-arts-066-100-jp.webp,,NM,available,,
mew-ex-future-flash-076-190-jp,Mew ex,Future Flash,076/190,2023,Psychic,RR,aky CG Works,/images/cards-collection/mew-ex-future-flash-076-190-jp.webp,,NM,available,,
ratticate-mustard-yellow-092-080-jp,Ratticate,Mustard Yellow,092/080,2026,Normal,AR,Mina Nakai,/images/cards-collection/ratticate-mustard-yellow-092-080-jp.webp,,NM,available,,
mega-bibarel-ex-destined-rivals-225-193-jp,Mega Bibarel ex,Destined Rivals,225/193,2025,Electric,SAR,DOM,/images/cards-collection/mega-bibarel-ex-destined-rivals-225-193-jp.webp,,NM,available,,
mask-of-change-248-193-jp,カナリィ,Mask of Change,248/193,2025,Normal,SAR,kantaro,/images/cards-collection/mask-of-change-248-193-jp.webp,,NM,available,,
hisuian-arcanine-v-paradigm-trigger-104-098-jp,Hisuian Arcanine V,Paradigm Trigger,104/098,2022,Fighting,SR,5ban Graphics,/images/cards-collection/hisuian-arcanine-v-paradigm-trigger-104-098-jp.webp,,NM,available,,
hop-s-dubwool-mask-of-change-204-193-jp,Hop's Dubwool,Mask of Change,204/193,2024,Psychic,AR,Tomowaka,/images/cards-collection/hop-s-dubwool-mask-of-change-204-193-jp.webp,,NM,available,,
n-s-point-up-destined-rivals-214-193-jp,N's Point Up,Destined Rivals,214/193,2025,Normal,SR,Toyste Beach,/images/cards-collection/n-s-point-up-destined-rivals-214-193-jp.webp,,NM,available,,
charizard-ex-ruler-of-the-black-flame-066-108-jp,Charizard ex,Ruler of the Black Flame,066/108,2023,Fire,RR,5ban Graphics,/images/cards-collection/charizard-ex-ruler-of-the-black-flame-066-108-jp.webp,,NM,available,,
lunatone-masterduel-set-terastal-festival-ex-086-193-jp,Lunatone,Masterduel set / Terastal Festival ex,086/193,2025,Fighting,Rare,Ounishi,/images/cards-collection/lunatone-masterduel-set-terastal-festival-ex-086-193-jp.webp,,NM,available,,
mashimashira-mask-of-change-081-193-jp,Mashimashira,Mask of Change,081/193,2024,Psychic,Holo,kodama,/images/cards-collection/mashimashira-mask-of-change-081-193-jp.webp,,NM,available,,
rayquaza-master-ball-subset-151-reprint-127-193-jp,Rayquaza,Master Ball subset (151 reprint),127/193,2025,Dragon,Rare,nagimiso,/images/cards-collection/rayquaza-master-ball-subset-151-reprint-127-193-jp.webp,,NM,available,,
genesect-v-fusion-arts-102-172-jp,Genesect V,Fusion Arts,102/172,2021,Steel,RR,PLANETA Tsuji,/images/cards-collection/genesect-v-fusion-arts-102-172-jp.webp,,NM,available,,
mega-garchomp-ex-terastal-festival-ex-098-080-jp,Mega Garchomp ex,Terastal Festival ex,098/080,2024,Water,SR,5ban Graphics,/images/cards-collection/mega-garchomp-ex-terastal-festival-ex-098-080-jp.webp,,NM,available,,
scizor-ruler-of-the-black-flame-116-108-jp,Scizor,Ruler of the Black Flame,116/108,2023,Steel,AR,Oku,/images/cards-collection/scizor-ruler-of-the-black-flame-116-108-jp.webp,,NM,available,,
mirai-don-ex-wild-force-046-139-jp,Mirai don ex,Wild Force,046/139,2024,Electric,RR,5ban Graphics,/images/cards-collection/mirai-don-ex-wild-force-046-139-jp.webp,,NM,available,,
mew-ex-151-151-165-jp,Mew ex,151,151/165,2023,Psychic,RR,aky CG Works,/images/cards-collection/mew-ex-151-151-165-jp.webp,,NM,available,8.2,2026-05-31
shinx-shiny-treasure-ex-240-190-jp,Shinx,Shiny Treasure ex,240/190,2023,Electric,Other,Saya Tsuruta,/images/cards-collection/shinx-shiny-treasure-ex-240-190-jp.webp,,NM,available,,
oddish-shiny-treasure-ex-191-190-jp,Oddish,Shiny Treasure ex,191/190,2023,Grass,Other,otumami,/images/cards-collection/oddish-shiny-treasure-ex-191-190-jp.webp,,NM,available,,
wugtrio-shiny-treasure-ex-267-190-jp,Wugtrio,Shiny Treasure ex,267/190,2023,Psychic,SR,Sanosuke Sakuma,/images/cards-collection/wugtrio-shiny-treasure-ex-267-190-jp.webp,,NM,available,,
scyther-shiny-treasure-ex-194-190-jp,Scyther,Shiny Treasure ex,194/190,2023,Grass,Other,Hitoshi Ariga,/images/cards-collection/scyther-shiny-treasure-ex-194-190-jp.webp,,NM,available,,
oinkologne-shiny-treasure-ex-316-190-jp,Oinkologne,Shiny Treasure ex,316/190,2023,Normal,S,Misa Tsutsui,/images/cards-collection/oinkologne-shiny-treasure-ex-316-190-jp.webp,,NM,available,,
deka-nuchang-shiny-treasure-ex-273-190-jp,Deka Nuchang,Shiny Treasure ex,273/190,2023,Psychic,SR,Kagemaru Himeno,/images/cards-collection/deka-nuchang-shiny-treasure-ex-273-190-jp.webp,,NM,available,,
regieleki-vmax-paradigm-trigger-034-098-jp,Regieleki VMAX,Paradigm Trigger,034/098,2022,Electric,RRR,N-DESIGN Inc.,/images/cards-collection/regieleki-vmax-paradigm-trigger-034-098-jp.webp,,NM,available,,
pikachu-ex-super-electric-breaker-033-106-jp,Pikachu ex,Super Electric Breaker,033/106,2024,Electric,RR,aky CG Works,/images/cards-collection/pikachu-ex-super-electric-breaker-033-106-jp.webp,,NM,available,,
hisuian-samurott-vstar-vstar-universe-087-172-jp,Hisuian Samurott VSTAR,VSTAR Universe,087/172,2022,Dark,RRR,5ban Graphics,/images/cards-collection/hisuian-samurott-vstar-vstar-universe-087-172-jp.webp,,NM,available,,
gengar-dark-phantasma-023-071-jp,Gengar,Dark Phantasma,023/071,2022,Psychic,Rare,Narumi Sato,/images/cards-collection/gengar-dark-phantasma-023-071-jp.webp,,NM,available,,
team-rocket-s-mewtwo-ex-mask-of-change-063-193-jp,Team Rocket's Mewtwo ex,Mask of Change,063/193,2025,Psychic,RR,aky CG Works,/images/cards-collection/team-rocket-s-mewtwo-ex-mask-of-change-063-193-jp.webp,,NM,available,,
team-rocket-s-moltres-ex-terastal-festival-ex-112-098-jp,Team Rocket's Moltres ex,Terastal Festival ex,112/098,2025,Fire,SR,5ban Graphics,/images/cards-collection/team-rocket-s-moltres-ex-terastal-festival-ex-112-098-jp.webp,,NM,available,,
arceus-v-vstar-universe-126-172-jp,Arceus V,VSTAR Universe,126/172,2022,Normal,RR,N-DESIGN Inc.,/images/cards-collection/arceus-v-vstar-universe-126-172-jp.webp,,NM,available,,
dewgong-pokemon-card-151-087-165-jp,Dewgong,Pokemon Card 151,087/165,2023,Water,Uncommon,aoki,/images/cards-collection/dewgong-pokemon-card-151-087-165-jp.webp,,NM,available,,
hitotsuki-terastal-festival-ex-109-187-jp,Hitotsuki,Terastal Festival ex,109/187,2024,Steel,Holo,Nagomi Nijo,/images/cards-collection/hitotsuki-terastal-festival-ex-109-187-jp.webp,,NM,available,,
hisuian-sneasler-v-dark-phantasma-074-067-jp,Hisuian Sneasler V,Dark Phantasma,074/067,2022,Dark,SR,5ban Graphics,/images/cards-collection/hisuian-sneasler-v-dark-phantasma-074-067-jp.webp,,NM,available,,
zekrom-ex-surging-sparks-037-086-jp,Zekrom ex,Surging Sparks,037/086,2024,Electric,RR,takuyoo,/images/cards-collection/zekrom-ex-surging-sparks-037-086-jp.webp,,NM,available,,
slowking-ex-clay-burst-030-071-jp,Slowking ex,Clay Burst,030/071,2023,Psychic,RR,5ban Graphics,/images/cards-collection/slowking-ex-clay-burst-030-071-jp.webp,,NM,available,,
tapu-koko-terastal-festival-ex-054-193-jp,Tapu Koko,Terastal Festival ex,054/193,2025,Electric,RR,Anesaki Dynamic,/images/cards-collection/tapu-koko-terastal-festival-ex-054-193-jp.webp,,NM,available,,
hisuian-samurott-v-battle-region-052-067-jp,Hisuian Samurott V,Battle Region,052/067,2022,Water,RR,Shin Nagasawa,/images/cards-collection/hisuian-samurott-v-battle-region-052-067-jp.webp,,NM,available,,
hibiki-s-heracross-battle-partners-001-193-jp,Hibiki's Heracross,Battle Partners,001/193,2025,Grass,AR,GIDORA,/images/cards-collection/hibiki-s-heracross-battle-partners-001-193-jp.webp,,NM,available,,
shiny-charizard-stellar-miracle-001-044-jp,Shiny Charizard,Stellar Miracle,001/044,2024,Fire,Other,Kouki Saitou,/images/cards-collection/shiny-charizard-stellar-miracle-001-044-jp.webp,,NM,available,,
zoroark-eevee-heroes-050-069-jp,Zoroark,Eevee Heroes,050/069,2021,Dark,Rare,Souichirou Gunjima,/images/cards-collection/zoroark-eevee-heroes-050-069-jp.webp,,NM,available,,
hibiki-s-magcargo-pokemon-masters-ex-promo-019-193-jp,Hibiki's Magcargo,Pokémon Masters EX Promo,019/193,2025,Fire,Other,kodama,/images/cards-collection/hibiki-s-magcargo-pokemon-masters-ex-promo-019-193-jp.webp,,NM,available,,
chien-pao-transformation-mask-043-193-jp,Chien-Pao,Transformation Mask,043/193,2025,Water,Holo,toi8,/images/cards-collection/chien-pao-transformation-mask-043-193-jp.webp,,NM,available,,
team-rocket-s-mewtwo-ex-destined-rivals-039-098-jp,Team Rocket's Mewtwo ex,Destined Rivals,039/098,2025,Psychic,RR,aky CG Works,/images/cards-collection/team-rocket-s-mewtwo-ex-destined-rivals-039-098-jp.webp,,NM,available,,
kadabra-wild-force-254-190-jp,Kadabra,Wild Force,254/190,2024,Psychic,Common,Souichirou Gunjima,/images/cards-collection/kadabra-wild-force-254-190-jp.webp,,NM,available,,
team-rocket-s-mimikyu-mask-of-change-079-193-jp,Team Rocket's Mimikyu,Mask of Change,079/193,2025,Psychic,AR,DOM,/images/cards-collection/team-rocket-s-mimikyu-mask-of-change-079-193-jp.webp,,NM,available,,
iono-s-kilowattrel-mask-of-change-059-193-jp,Iono's Kilowattrel,Mask of Change,059/193,2024,Electric,AR,DOM,/images/cards-collection/iono-s-kilowattrel-mask-of-change-059-193-jp.webp,,NM,available,,
chien-pao-terastal-festival-ex-087-187-jp,Chien-Pao,Terastal Festival ex,087/187,2024,Fighting,Rare,Shinji Kanda,/images/cards-collection/chien-pao-terastal-festival-ex-087-187-jp.webp,,NM,available,,
reshiram-ex-pokemon-card-game-festa-m2a-029-193-jp,Reshiram ex,Pokémon Card Game festa M2a,029/193,2025,Fire,RR,5ban Graphics,/images/cards-collection/reshiram-ex-pokemon-card-game-festa-m2a-029-193-jp.webp,,NM,available,,
pikachu-ex-mask-of-change-044-193-jp,Pikachu ex,Mask of Change,044/193,2024,Electric,RR,aky CG Works,/images/cards-collection/pikachu-ex-mask-of-change-044-193-jp.webp,,NM,available,,
glaceon-ex-terastal-festival-ex-041-187-jp,Glaceon ex,Terastal Festival ex,041/187,2024,Water,RR,aky CG Works,/images/cards-collection/glaceon-ex-terastal-festival-ex-041-187-jp.webp,,NM,available,,
vaporeon-terastal-festival-ex-030-187-jp,Vaporeon,Terastal Festival ex,030/187,2024,Water,Holo,Taira Akitsu,/images/cards-collection/vaporeon-terastal-festival-ex-030-187-jp.webp,,NM,available,,
mega-bibarel-ex-masterball-mirror-049-193-jp,Mega Bibarel ex,Masterball Mirror,049/193,2025,Electric,RR,takuyoa,/images/cards-collection/mega-bibarel-ex-masterball-mirror-049-193-jp.webp,,NM,available,,
n-s-zekrom-prismatic-evolutions-129-193-jp,N's Zekrom,Prismatic Evolutions,129/193,2025,Electric,AR,AKIRA EGAWA,/images/cards-collection/n-s-zekrom-prismatic-evolutions-129-193-jp.webp,,NM,available,,
vivillon-snap-of-fingers-009-080-jp,Vivillon,Snap of Fingers,009/080,2026,Grass,Uncommon,mingo,/images/cards-collection/vivillon-snap-of-fingers-009-080-jp.webp,,NM,available,,
mega-sharpedo-ex-cyber-judge-051-080-jp,Mega Sharpedo ex,Cyber Judge,051/080,2024,Water,RR,5ban Graphics,/images/cards-collection/mega-sharpedo-ex-cyber-judge-051-080-jp.webp,,NM,available,,
latios-twilight-masquerade-027-066-jp,Latios,Twilight Masquerade,027/066,2024,Psychic,RR,chibi,/images/cards-collection/latios-twilight-masquerade-027-066-jp.webp,,NM,available,,
zekrom-ex-destined-rivals-161-086-jp,Zekrom ex,Destined Rivals,161/086,2025,Electric,SR,takuyoa,/images/cards-collection/zekrom-ex-destined-rivals-161-086-jp.webp,,NM,available,,
reshiram-ex-terastal-festival-ex-160-086-jp,Reshiram ex,Terastal Festival ex,160/086,2025,Fire,SR,5ban Graphics,/images/cards-collection/reshiram-ex-terastal-festival-ex-160-086-jp.webp,,NM,available,,
ditto-vstar-universe-117-172-jp,Ditto,VSTAR Universe,117/172,2022,Normal,AR,KIYOTAKA OSHIYAMA,/images/cards-collection/ditto-vstar-universe-117-172-jp.webp,,NM,available,,
mewtwo-vstar-pokemon-go-031-071-jp,Mewtwo VSTAR,Pokemon GO,031/071,2022,Psychic,RRR,PLANETA Mochizuki,/images/cards-collection/mewtwo-vstar-pokemon-go-031-071-jp.webp,,NM,available,,
beautifly-extradimensional-crisis-194-193-jp,Beautifly,Extradimensional Crisis,194/193,2025,Grass,AR,Mori Yuu,/images/cards-collection/beautifly-extradimensional-crisis-194-193-jp.webp,,NM,available,,
reshiram-ex-destined-rivals-017-086-jp,Reshiram ex,Destined Rivals,017/086,2025,Fire,RR,5ban Graphics,/images/cards-collection/reshiram-ex-destined-rivals-017-086-jp.webp,,NM,available,,
terapagos-ex-mask-of-change-145-193-jp,Terapagos ex,Mask of Change,145/193,2024,Normal,RR,5ban Graphics,/images/cards-collection/terapagos-ex-mask-of-change-145-193-jp.webp,,NM,available,,
slowbro-paradise-dragona-020-078-jp,Slowbro,Paradise Dragona,020/078,2023,Water,Rare,Shinji Kanda,/images/cards-collection/slowbro-paradise-dragona-020-078-jp.webp,,NM,available,,
soublaze-shiny-treasure-ex-268-190-jp,Soublaze,Shiny Treasure ex,268/190,2023,Psychic,Other,Kouki Saitou,/images/cards-collection/soublaze-shiny-treasure-ex-268-190-jp.webp,,NM,available,,
mega-aerodactyl-ex-ancient-roar-099-080-jp,Mega Aerodactyl ex,Ancient Roar,099/080,2023,Fighting,SR,5ban Graphics,/images/cards-collection/mega-aerodactyl-ex-ancient-roar-099-080-jp.webp,,NM,available,,
galarian-articuno-v-dual-champ-025-070-jp,Galarian Articuno V,Dual Champ,025/070,2021,Psychic,RR,5ban Graphics,/images/cards-collection/galarian-articuno-v-dual-champ-025-070-jp.webp,,NM,available,,
terastal-orb-prismatic-evolutions-152-193-jp,Terastal Orb,Prismatic Evolutions,152/193,2025,Normal,Uncommon,Ayaka Yoshida,/images/cards-collection/terastal-orb-prismatic-evolutions-152-193-jp.webp,,NM,available,,
arceus-vstar-star-birth-010-021-jp,Arceus VSTAR,Star Birth,010/021,2022,Normal,RR,5ban Graphics,/images/cards-collection/arceus-vstar-star-birth-010-021-jp.webp,,NM,available,,
luxray-crimson-haze-027-080-jp,Luxray,Crimson Haze,027/080,2026,Electric,RR,Taiga Kasai,/images/cards-collection/luxray-crimson-haze-027-080-jp.webp,,NM,available,,
